Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Cash Purchasing Power
"MyPortfolio -1749",26895.63,966.82,3.73,-208.56,-.77,.00,.33


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Symbol,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
DOW,25.19,-0.52,-2.02,33.0000,28.2824,-17.1600,-102.0500,-10.9341,831.2700
ISRG,496.87,2.92,0.59,4.0000,531.1825,11.6800,-137.2500,-6.4596,1987.4800
KHC,28.56,0.31,1.10,29.0000,27.1197,8.9900,41.7700,5.3111,828.2400
LYB,62.495,-0.39,-0.61,6.0000,59.2083,-2.3100,19.7200,5.5510,374.9700
MITT,7.77,0.02,0.26,126.0000,7.5824,2.3387,23.6338,2.4737,979.0200
MSTY,20.38,-0.37,-1.78,54.0000,22.3622,-19.9800,-107.0400,-8.8642,1100.5200
QTUM,93.44,-0.32,-0.34,54.1590,73.195,-17.3309,1096.4485,27.6590,5060.6170
SCHD,27.18,-0.02,-0.07,104.9370,25.4775,-2.0987,178.6578,6.6825,2852.1877
SCHH,21.57,0.30,1.41,131.1550,20.3847,39.3465,155.4634,5.8149,2829.0134
TSLA,321.20,-4.39,-1.35,10.0000,327.568,-43.9000,-63.6800,-1.9440,3212.0000
TWO,10.10,-0.23,-2.23,279.0000,10.3051,-64.1700,-57.2098,-1.9898,2817.9000
UPS,90.84,-10.74,-10.57,17.0000,95.9147,-120.6000,-86.2700,-5.2909,1544.2800
XLP,81.205,0.55,0.68,30.5130,81.0533,16.6296,4.6282,.1871,2477.8082
CASH,,,,,,,,,.33,
TOTAL,,,,,25928.48,-208.56,966.82,3.73,26895.63,



Generated at Jul 29 2025 07:18 PM ET
